date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:23:14	93283/93283	---M-Z	200	added ('OK')	text/html	date:Thu,%2012%20Oct%202023%2004:38:00%20GMT	https://admin.pixelstrap.com/cuba/template/index.html	C:/My%20Web%20Sites/STL-eKYe/admin.pixelstrap.com/cuba/template/index.html	(from )
10:23:15	31/31	---M--	200	added ('OK')	text/plain	date:Fri,%2012%20Oct%202018%2016:00:13%20GMT	https://admin.pixelstrap.com/robots.txt		(from )
10:23:16	2342/2342	---M--	200	added ('OK')	image/png	date:Thu,%2012%20Oct%202023%2004:37:51%20GMT	https://admin.pixelstrap.com/cuba/assets/images/favicon.png	C:/My%20Web%20Sites/STL-eKYe/admin.pixelstrap.com/cuba/assets/images/favicon.png	(from https://admin.pixelstrap.com/cuba/template/index.html)
10:23:16	37492/37492	---M-Z	200	added ('OK')	text/css	date:Thu,%2012%20Oct%202023%2004:37:53%20GMT	https://admin.pixelstrap.com/cuba/assets/css/font-awesome.css	C:/My%20Web%20Sites/STL-eKYe/admin.pixelstrap.com/cuba/assets/css/font-awesome.css	(from https://admin.pixelstrap.com/cuba/template/index.html)
10:23:17	112807/112807	---M-Z	200	added ('OK')	text/css	date:Thu,%2012%20Oct%202023%2004:37:53%20GMT	https://admin.pixelstrap.com/cuba/assets/css/vendors/icofont.css	C:/My%20Web%20Sites/STL-eKYe/admin.pixelstrap.com/cuba/assets/css/vendors/icofont.css	(from https://admin.pixelstrap.com/cuba/template/index.html)
10:23:17	22985/22985	---M-Z	200	added ('OK')	text/css	date:Thu,%2012%20Oct%202023%2004:37:53%20GMT	https://admin.pixelstrap.com/cuba/assets/css/vendors/themify.css	C:/My%20Web%20Sites/STL-eKYe/admin.pixelstrap.com/cuba/assets/css/vendors/themify.css	(from https://admin.pixelstrap.com/cuba/template/index.html)
10:23:18	42653/42653	---M-Z	200	added ('OK')	text/css	date:Thu,%2012%20Oct%202023%2004:37:53%20GMT	https://admin.pixelstrap.com/cuba/assets/css/vendors/flag-icon.css	C:/My%20Web%20Sites/STL-eKYe/admin.pixelstrap.com/cuba/assets/css/vendors/flag-icon.css	(from https://admin.pixelstrap.com/cuba/template/index.html)
10:23:18	2632/2632	---M-Z	200	added ('OK')	text/css	date:Thu,%2012%20Oct%202023%2004:37:53%20GMT	https://admin.pixelstrap.com/cuba/assets/css/vendors/feather-icon.css	C:/My%20Web%20Sites/STL-eKYe/admin.pixelstrap.com/cuba/assets/css/vendors/feather-icon.css	(from https://admin.pixelstrap.com/cuba/template/index.html)
10:23:19	4574/4574	---M-Z	200	added ('OK')	text/css	date:Thu,%2012%20Oct%202023%2004:37:52%20GMT	https://admin.pixelstrap.com/cuba/assets/css/vendors/slick.css	C:/My%20Web%20Sites/STL-eKYe/admin.pixelstrap.com/cuba/assets/css/vendors/slick.css	(from https://admin.pixelstrap.com/cuba/template/index.html)
10:23:19	3044/3044	---M-Z	200	added ('OK')	text/css	date:Thu,%2012%20Oct%202023%2004:37:53%20GMT	https://admin.pixelstrap.com/cuba/assets/css/vendors/slick-theme.css	C:/My%20Web%20Sites/STL-eKYe/admin.pixelstrap.com/cuba/assets/css/vendors/slick-theme.css	(from https://admin.pixelstrap.com/cuba/template/index.html)
10:23:19	3911/3911	---M-Z	200	added ('OK')	text/css	date:Thu,%2012%20Oct%202023%2004:37:53%20GMT	https://admin.pixelstrap.com/cuba/assets/css/vendors/scrollbar.css	C:/My%20Web%20Sites/STL-eKYe/admin.pixelstrap.com/cuba/assets/css/vendors/scrollbar.css	(from https://admin.pixelstrap.com/cuba/template/index.html)
10:23:20	25340/25340	---M-Z	200	added ('OK')	text/css	date:Thu,%2012%20Oct%202023%2004:37:52%20GMT	https://admin.pixelstrap.com/cuba/assets/css/vendors/animate.css	C:/My%20Web%20Sites/STL-eKYe/admin.pixelstrap.com/cuba/assets/css/vendors/animate.css	(from https://admin.pixelstrap.com/cuba/template/index.html)
10:23:21	271309/271309	---M-Z	200	added ('OK')	text/css	date:Thu,%2012%20Oct%202023%2004:37:52%20GMT	https://admin.pixelstrap.com/cuba/assets/css/vendors/bootstrap.css	C:/My%20Web%20Sites/STL-eKYe/admin.pixelstrap.com/cuba/assets/css/vendors/bootstrap.css	(from https://admin.pixelstrap.com/cuba/template/index.html)
10:23:21	0/0	---M--	200	added ('OK')	text/css	date:Thu,%2012%20Oct%202023%2004:37:53%20GMT	https://admin.pixelstrap.com/cuba/assets/css/color-1.css	C:/My%20Web%20Sites/STL-eKYe/admin.pixelstrap.com/cuba/assets/css/color-1.css	(from https://admin.pixelstrap.com/cuba/template/index.html)
10:23:22	1110351/1110351	---M-Z	200	added ('OK')	text/css	date:Thu,%2012%20Oct%202023%2004:37:52%20GMT	https://admin.pixelstrap.com/cuba/assets/css/style.css	C:/My%20Web%20Sites/STL-eKYe/admin.pixelstrap.com/cuba/assets/css/style.css	(from https://admin.pixelstrap.com/cuba/template/index.html)
10:23:22	77355/77355	---M-Z	200	added ('OK')	text/css	date:Thu,%2012%20Oct%202023%2004:37:53%20GMT	https://admin.pixelstrap.com/cuba/assets/css/responsive.css	C:/My%20Web%20Sites/STL-eKYe/admin.pixelstrap.com/cuba/assets/css/responsive.css	(from https://admin.pixelstrap.com/cuba/template/index.html)
10:23:22	3666/3666	---M--	200	added ('OK')	image/png	date:Thu,%2012%20Oct%202023%2004:37:51%20GMT	https://admin.pixelstrap.com/cuba/assets/images/logo/logo.png	C:/My%20Web%20Sites/STL-eKYe/admin.pixelstrap.com/cuba/assets/images/logo/logo.png	(from https://admin.pixelstrap.com/cuba/template/index.html)
10:23:23	3318/3318	---M--	200	added ('OK')	image/png	date:Thu,%2012%20Oct%202023%2004:37:51%20GMT	https://admin.pixelstrap.com/cuba/assets/images/logo/logo_dark.png	C:/My%20Web%20Sites/STL-eKYe/admin.pixelstrap.com/cuba/assets/images/logo/logo_dark.png	(from https://admin.pixelstrap.com/cuba/template/index.html)
